row_index,label,period_days,t0,duration_days,duration_hours,scale_mean,scale_std,scale_skewness,scale_kurtosis,scale_outlier_resistance,local_noise,depth_stability,acf_lag_1h,acf_lag_3h,acf_lag_6h,acf_lag_12h,acf_lag_24h,cadence_hours,depth_mean_per_transit,depth_std_per_transit,npts_transit_median,cdpp_3h,cdpp_6h,cdpp_12h,SES_mean,SES_std,MES,snr_global,snr_per_transit_mean,snr_per_transit_std,secondary_depth,skewness_flux,kurtosis_flux,outlier_resistance
85,1,22.152371672163156,0.1875000000000053,0.08750000000000248,2.1000000000000596,-0.01558038162199365,1.0,-56.20804823638184,3169.1986679473907,0.03127932436659368,3.705656534079353e-05,1.6799503003337863,-2.053327541120729e-06,-0.00018098099489417626,-0.00022067664710650008,-0.00026781486354765445,-0.0002325614853820242,0.5000000000000142,0.5110251828217032,0.5841070183506983,17.0,1703233.400814911,1786511.2660835308,1825692.3695834405,0.30003238697479945,0.3429400915172476,0.7892287493565867,0.28604643727883966,0.30003238697479945,0.3429400915172476,0.0002690329539896119,-56.20804823638184,3169.1986679473907,0.03127932436659368
86,1,12.753280838337199,0.40625000000001155,0.06250000000000178,1.5000000000000426,-0.03282889240629078,0.9999999999999999,-46.18875136342798,2334.538767356623,0.12511729746637473,29.300011615057137,1.5568359630864712,0.014997106867817057,-0.0010799680080327376,-0.0008476343491805131,-0.0005712823307352429,-0.0010932568071243644,0.5000000000000142,90.37530179729981,167.3184776855812,12.0,26311166.33938018,27869431.58274545,28590844.910251137,3.4348649022842523,6.359219334003981,17.703892357599937,3.242811089597287,3.4348649022842523,6.359219334003981,0.0009210717746793717,-46.18875136342798,2334.538767356623,0.12511729746637473
87,1,2.1757455535048336,0.13125000000000372,0.09000000000000001,2.16,-0.005409737588126126,1.0,-41.84182005664983,2217.902808380687,0.15639662183296843,4.5004712418297286e-07,4.596344475991314,-0.12843691431027263,-0.015589195267475289,0.0004883260165776655,0.00017057974775604973,-2.988980378981425e-05,0.5000000000000142,0.10859448543108668,0.41485583961713807,17.0,595903.1679466072,618930.341585461,624020.7529410549,0.1822351201878771,0.6961799532744035,4.006764425007073,0.17545510073542275,0.1822351201878771,0.6961799532744035,3.08143783190884e-05,-41.84182005664983,2217.902808380687,0.15639662183296843
88,1,11.511270744000266,5.381250000000152,0.09000000000000001,2.16,0.012616763261866663,1.0000000000000002,37.83208823174299,1861.4541405021025,0.28151391929934316,1.088259806958692,0.7846358918338227,-0.05052050413133732,-0.022270758487683177,0.0013055019682897684,-0.000113764609860604,0.0026255324606180674,0.5000000000000142,2.925190508615037,3.792258699921257,17.0,1008199.0472353415,1051344.8720536383,1082845.242699037,2.901401778385352,3.761418650732011,11.636082471096266,2.7823320266937084,2.901401778385352,3.761418650732011,6.518881239703234e-06,37.83208823174299,1861.4541405021025,0.28151391929934316
89,1,0.5624203837095645,0.27187500000000775,0.09375000000000266,2.250000000000064,0.004420162413421142,0.9999999999999999,-33.3745038458761,1553.8238161584245,0.28151391929934316,1.3297716026963167e-07,4.931265124877751,0.023525929981096382,-1.9572978989550683e-05,-8.322827380883374e-05,0.07927513229718311,-1.5689035028658893e-05,0.5000000000000142,0.710449903825795,3.5497912847186406,18.0,675598.9866500903,714294.5762174455,733392.0735134842,1.0515852123291514,5.254287461738255,58.20805310561043,0.9946175254304602,1.0515852123291514,5.254287461738255,1.000000010302902,-33.3745038458761,1553.8238161584245,0.28151391929934316
90,1,10.060412267613021,7.003125000000198,0.09375000000000266,2.250000000000064,0.0027071358613595,0.9999999999999998,-32.83233688895037,1446.6109813145038,0.3440725680325305,1.0370005080541511e-05,1.3118036243560252,0.04056163203600444,-6.510046922701811e-06,8.114975675559558e-05,0.00025851347232297623,-5.485428333728183e-06,0.5000000000000142,8.350014969724247,18.9027949291508,18.0,965000.2145449008,1026972.3573575959,1063482.2515037018,8.652863329840978,19.588384172604,52.45437093122534,8.130710539482163,8.652863329840978,19.588384172604,0.0006521340816310062,-32.83233688895037,1446.6109813145038,0.3440725680325305
91,1,21.00616888802383,13.053125000000371,0.09375000000000266,2.250000000000064,-0.01225879163058828,1.0,-5.501642291384315,223.53435141892857,0.688145136065061,0.325519037366822,0.3853365189241952,0.004445314984849883,0.02139075045062832,0.006866827238228156,0.02046082324486672,-0.005650375003769137,0.5000000000000142,1.1388812555373666,1.3814828870474873,18.0,290526.2842078347,306801.5957964165,314340.27617343614,3.9200627187405934,4.755104657102941,10.673974707511064,3.7121099470847962,3.9200627187405934,4.755104657102941,0.019285638391705384,-5.501642291384315,223.53435141892857,0.688145136065061
92,1,22.11037865489316,2.6593750000000753,0.09375000000000266,2.250000000000064,0.001570322518531577,0.9999999999999999,23.239683392572125,1616.4993826743757,0.21895527056615577,2.6477545657606143,0.984421887020212,0.006430308162914466,-0.00021651213464027295,-0.00012154046015007517,6.985865095835538e-05,0.0034952314337628916,0.5000000000000142,0.06954760021061919,0.4710035732810146,18.0,2424315.130767698,2536950.8967155362,2586804.317217772,0.028687524706656375,0.1942831471467424,0.34015694321461876,0.02741385349659664,0.028687524706656375,0.1942831471467424,17.599463652321308,23.239683392572125,1616.4993826743757,0.21895527056615577
93,1,21.901604612182524,17.01562500000048,0.09375000000000266,2.250000000000064,-0.017530565774441686,0.9999999999999998,-28.979287788666408,1149.9524447589451,0.31279324366593686,1.5730622174359095,0.7923306677101652,-0.006845117471193017,-0.0015874230827521633,-0.005092877999616349,0.0010814746847223056,0.0008768618797539428,0.5000000000000142,0.16548600048428933,0.26869491847215254,18.0,1458113.251508975,1516342.8132527503,1546680.7505104463,0.1134932422519519,0.18427575374826688,0.3748530490326261,0.10913495222712903,0.1134932422519519,0.18427575374826688,1.2041189770717331e-05,-28.979287788666408,1149.9524447589451,0.31279324366593686
94,1,18.498459327342847,14.396875000000408,0.0812500000000023,1.9500000000000552,0.02571819265621204,0.9999999999999999,21.691127810552608,683.7071298119511,0.31279324366593686,1.8655444918213715,0.9025537849194774,-0.006126714782268057,0.033117685721059185,-0.017279482051454822,-0.029424658075037906,-0.0031197886947377895,0.5000000000000142,0.24753470896597274,0.6330285988250535,15.0,1697004.5112546468,1793506.4163913873,1830399.2169830466,0.14586567526739386,0.37302705716264484,0.6937419850275085,0.1380171861687695,0.14586567526739386,0.37302705716264484,0.0005559230850378238,21.691127810552608,683.7071298119511,0.31279324366593686
