time,flux,flux_err
288.2090452217308,1.0006163,8.513526e-05
288.2097263986798,1.0004905,8.511328e-05
288.21040737562726,1.0006342,8.5102336e-05
288.2110884525755,1.0006135,8.508751e-05
288.2117696295245,1.0004921,8.5067615e-05
288.21245070648,1.0005172,8.505593e-05
288.21313178342825,1.0005952,8.504605e-05
288.21381296037725,1.0004473,8.5028994e-05
288.2144940373255,1.0004557,8.5018815e-05
288.21517511427373,1.0006255,8.501606e-05
288.21585619122925,1.0005414,8.500614e-05
288.2165372684103,1.0005797,8.4999985e-05
288.21721834535856,1.0005169,8.499447e-05
288.2178994223068,1.0007088,8.499939e-05
288.2185805992558,1.0004667,8.498697e-05
288.2192616762113,1.0006851,8.499673e-05
288.21994275315956,1.000532,8.499151e-05
288.22062393010856,1.0006146,8.499959e-05
288.22130490705604,1.0007244,8.500837e-05
288.2219859840043,1.0005057,8.500392e-05
288.2226671609533,1.0006964,8.502029e-05
288.2233482379088,1.0006125,8.502573e-05
288.22402931485703,1.0003865,8.5026484e-05
288.2247103918053,1.0005186,8.504252e-05
288.2253915689871,1.0004451,8.505292e-05
288.22607264593535,1.0005441,8.506915e-05
288.2267536228901,1.000485,8.5081905e-05
288.2274347998391,1.0004035,8.509444e-05
288.22811587678734,1.0004951,8.5111715e-05
288.2287969537356,1.0004431,8.512783e-05
288.2294781306846,1.0005022,8.514727e-05
288.2301592076401,1.0005186,8.516437e-05
288.23084028458834,1.0006003,8.518661e-05
288.23152146153734,1.0004035,8.519842e-05
288.2322024384848,1.0005921,8.5225736e-05
288.23288351543306,1.0006598,8.524536e-05
288.23356469238934,1.0006031,8.526404e-05
288.2342457693376,1.0004278,8.527774e-05
288.2349268462858,1.0004456,8.529804e-05
288.2356080232348,1.0001924,8.530871e-05
288.2362891004159,1.0003715,8.533428e-05
288.2369702773649,1.0003293,8.5353095e-05
288.23765125431964,1.0002033,8.5368425e-05
288.2383323312679,1.0002947,8.5389205e-05
288.2390134082161,1.0003345,8.540983e-05
288.2396945851651,1.0003225,8.5427055e-05
288.24037566211337,1.0002877,8.54427e-05
288.24105683906964,1.00028,8.545821e-05
288.2417379160179,1.0003452,8.547439e-05
288.2424189929661,1.0003157,8.548879e-05
288.2430999699136,1.0002055,8.549681e-05
288.2437811468626,1.0002824,8.5513435e-05
288.2444622238181,1.0001996,8.552054e-05
288.24514330076636,1.0003258,8.5536056e-05
288.24582447771536,1.0003396,8.554628e-05
288.2465055546636,1.0003397,8.555477e-05
288.24718663161184,1.00047,8.55682e-05
288.24786780856084,1.0004125,8.557168e-05
288.2485487855156,1.0003293,8.557349e-05
288.24922986269667,1.0002787,8.5575106e-05
288.24991103964567,1.0001898,8.557549e-05
288.2505921165939,1.0002607,8.5580585e-05
288.25127319354215,1.0003371,8.5583335e-05
288.25195427049766,1.0002127,8.5579566e-05
288.25263544744666,1.0003494,8.558301e-05
288.2533165243949,1.0001509,8.557336e-05
288.2539975013424,1.0000187,8.556538e-05
288.2546786782914,1.0003008,8.557009e-05
288.2553597552469,1.0003972,8.556833e-05
288.25604083219514,1.0003581,8.555858e-05
288.25672200914414,1.0001117,8.554351e-05
288.2574030860924,1.0001681,8.553562e-05
288.2580841630406,1.0003825,8.553325e-05
288.2587653399896,1.0003035,8.5518775e-05
288.25944641694514,1.0003866,8.551151e-05
288.2601273938926,1.000169,8.548825e-05
288.26080847084086,1.0003017,8.5478125e-05
288.26148964778986,1.0002642,8.546206e-05
288.2621707247454,1.0001712,8.5441636e-05
288.2628519016944,0.99992853,8.542986e-05
288.2635329786426,1.0002344,8.54088e-05
288.26421405559086,1.0003303,8.539681e-05
288.26489523253986,1.0005739,8.538756e-05
288.26557620948734,1.0003939,8.536286e-05
288.26625728644285,1.0003726,8.534434e-05
288.26693846339185,1.0003831,8.532511e-05
288.2676195403401,1.0002991,8.530437e-05
288.26830061728833,1.0004503,8.529075e-05
288.26898179423733,1.0004483,8.527309e-05
288.2696628714257,1.0003629,8.525294e-05
288.2703439481411,1.0003777,8.523407e-05
288.27102502532216,1.0004579,8.522109e-05
288.2717061022704,1.0004597,8.520516e-05
288.27238717921864,1.0002221,8.517888e-05
288.27306835616764,1.0004642,8.517317e-05
288.27374943312316,1.0004257,8.515639e-05
288.2744305100714,1.0004992,8.514512e-05
288.2751116870204,1.0004604,8.5129715e-05
288.27579276396864,1.0004163,8.512127e-05
288.2764737409234,1.0003275,8.510159e-05
288.2771549178724,1.0004756,8.5096966e-05
288.27783599482063,1.0003556,8.508322e-05
288.2785170717689,1.0003775,8.507471e-05
288.2791981487171,0.9999224,8.5063264e-05
288.2798793256661,1.0005051,8.506549e-05
288.28056040262163,1.0003775,8.505578e-05
288.28124147956987,1.0004287,8.5053405e-05
288.2819225565181,1.0005568,8.505571e-05
288.28260363346635,1.0004641,8.5051426e-05
288.2832847104146,1.0004698,8.505022e-05
288.2839657873701,1.0004264,8.5048414e-05
288.2846469643191,1.0004245,8.5050284e-05
